x,y
5.088008685,5.197893921
5.46109962,4.872532122
5.366709582,5.873043946
4.550731101,4.219049282
4.467556752,3.449241559
4.956690678,4.45651989
2.362690801,4.636139307
6.246721174,4.212839889
5.338101604,5.145815569
4.101863263,4.742116885
4.166174006,4.683033646
5.138556322,5.056475166
3.835886099,2.381374831
4.588306215,4.844395872
6.04136969,4.260176141
4.282884669,3.699950435
7.230790637,4.280146881
4.512923956,3.912141999
5.390326918,7.756139147
5.354592709,4.900370974
5.082344625,4.796247479
6.641798599,5.790746162
4.943422522,5.600911102
5.232094574,5.679089966
5.298557005,6.389626184
6.059457456,5.950367866
6.727551804,4.236312301
4.226508234,5.08455681
6.415756005,5.352747132
5.178383733,5.897921181
3.264618786,4.290785358
6.787465435,5.138023043
4.83062967,3.515063146
5.648949595,4.87443113
6.332817914,5.330655387
5.926510032,5.217005357
5.379926416,3.842751162
5.592814238,5.144276835
6.849025515,6.099737909
5.568118035,5.303505999
5.944274318,6.2646219
2.617086123,4.908850822
4.813289375,6.326514754
3.885204264,3.71821446
2.44735145,4.611096799
5.990227642,5.734857765
4.886445225,5.93391288
5.855678487,5.039808808
6.353974629,5.778918666
3.926154814,4.096628953
5.37588414,4.098669878
5.4911189,4.816475389
4.986831255,4.191791307
5.449438505,4.461875136
4.286965262,6.045778974
2.841626494,6.977677617
5.21942867,3.249710839
4.400252916,4.820352281
4.582637713,4.097570977
5.990369052,5.046653171
4.385411505,5.389773094
3.69558533,5.802733079
7.536711672,5.662356065
5.653809774,3.685764545
6.943706815,6.738110659
3.637278854,6.120172737
4.022142222,4.819339445
5.795651557,5.423494882
7.191971616,5.703645769
3.812288282,6.956896504
4.303262983,5.335105852
4.811385471,5.521885919
5.031127624,4.500787688
5.063388654,4.663991726
4.467795696,5.102536977
4.353117465,5.812230159
5.821793207,5.674507136
4.718456136,5.865337335
5.117498142,4.451246445
5.564283622,6.324257641
6.725306982,4.976685611
4.948005854,5.219652912
5.538956403,5.032697528
4.921409828,4.104789691
6.262808344,6.324993291
4.510991973,4.828587368
4.490556637,5.407864663
4.639191605,5.958194833
6.830650523,5.20352807
5.380772597,5.268430533
5.436154821,4.02694488
5.376712178,6.137251229
5.317043892,4.062223837
3.775966757,4.445171066
4.202618308,5.332481317
5.783206481,5.035937636
3.456890979,4.27682812
5.677374822,7.036706748
6.225361231,3.850668579
5.403018416,5.691041312
5.26907902,5.299959052
4.490196656,5.910771114
4.604387267,4.595194978
3.733646,6.266296555
5.838466435,3.964642481
4.936490468,4.755048998
4.526253798,4.902448361
6.370330165,4.806164939
5.576723993,3.892586796
5.627278214,4.871030711
6.0771706,4.415507057
5.291963381,3.955539362
7.36057866,3.376528979
5.381303825,4.960854529
5.75554709,6.24676599
3.583155981,3.871922872
4.466491118,4.558631926
5.317543449,3.890037881
7.709980799,4.893416128
5.144551163,3.576745953
4.962038431,5.732680539
5.919913676,6.798763994
5.511887075,5.409977311
6.317912091,5.44128961
4.584209599,5.449566844
4.501829954,4.726074949
4.722788793,3.513062264
4.149443973,5.367967981
4.057613345,4.855337961
4.848354962,4.191039307
6.491121553,4.734679485
6.497518288,4.712079302
3.930046526,4.272968821
5.54827944,3.217379691
6.315500091,3.98965998
3.414852294,3.948750435
4.88549149,4.939190887
4.465637454,5.280264086
5.644854995,5.328563718
6.100393372,4.913923289
4.805445333,5.678309628
4.901868156,6.598243658
4.202814268,4.750036366
6.704432474,4.561449972
3.481075461,5.480364967
5.134648119,3.504422993
4.450901259,4.196265464
3.809666837,4.451857566
4.676662665,5.118347215
6.501429667,5.395514841
4.322417083,3.917669291
5.651317845,4.776668997
7.251952364,4.425996112
5.088241961,4.726434598
5.636150832,4.272630028
4.079063244,6.242685304
5.973946514,3.857723347
5.173308739,4.509498139
4.324658782,4.615968281
5.362405959,7.2006298
4.81944548,5.678818005
5.335293185,5.544012712
4.631832454,5.177073536
5.949901196,4.152721323
5.005984751,5.335517892
4.581384921,4.69412564
5.275524837,6.023781441
6.409090085,3.563008364
5.618071516,5.745954859
5.237464035,5.05621735
3.143491499,4.581269221
6.000932359,4.189221378
5.523228145,6.042216462
5.973755794,5.35144044
5.492194939,4.862816046
4.488227939,5.421304942
5.184330667,6.360476232
4.364487827,5.694659726
4.521581784,3.060803774
5.856749542,4.086327612
4.806269228,6.190664908
5.332569589,6.042958099
5.806248361,7.175526451
4.089783417,5.877876939
2.914530629,5.478769729
3.954517296,6.734922152
4.67473404,3.39776587
6.188668206,4.203506398
6.848335766,3.836787616
6.575354999,5.306844859
5.509030008,5.650701973
8.247842852,5.812821364
4.963900707,5.158786812
3.031450351,6.300925352
7.081032047,5.276484937
4.10691659,6.402308564
3.725300339,6.329157598
6.009340846,5.065783029
5.588562913,4.490320677
6.622182642,5.67597645
5.457421524,4.834099635
4.308435991,4.757317239
4.055472405,3.792843514
6.568418352,5.393100988
5.484981993,3.227765826
5.780242243,6.303290008
4.590087467,3.992989483
6.028187865,4.160708491
5.536500887,5.99714302
6.06534149,3.899511309
6.157235856,5.181426486
6.609391842,4.906792795
4.996799763,4.988912441
4.225979802,3.498837076
4.871537769,5.326095527
5.803505922,3.786352029
3.58822893,4.90598825
6.214449718,5.781234945
3.998369287,5.733883849
6.107033487,5.591908462
3.579303106,4.967304179
6.01176523,5.825558388
6.097150268,5.778694153
4.214108203,3.795987376
6.599291413,6.023063108
5.661978385,5.580347411
7.627486251,5.388789156
5.336086111,6.176962476
4.671139962,5.273854366
6.581549205,4.101976472
5.239718497,5.044496971
3.045637932,4.74746308
4.419361393,5.228809431
4.572447212,5.018443212
4.329137471,4.850026262
5.775693429,5.270385199
3.595182049,5.483975711
4.764547877,4.797984838
4.263283771,4.667679499
5.322264346,5.978709165
4.615760551,5.275140391
4.531400769,5.03702982
4.952503711,6.05190111
2.868740153,5.557738993
4.323032247,4.883214699
5.921421456,4.305420332
4.070985899,4.988919419
3.908109061,4.049472863
3.119316925,4.158846009
6.714592867,4.932691919
4.77416198,5.926233025
4.23391517,2.996496874
5.267058653,6.745108597
5.056585932,5.519067965
4.907309801,2.872082599
3.14337127,5.868099875
3.790306584,4.930661067
5.476220175,4.079340537
3.902737099,4.749137415
6.462479292,4.554134942
4.527102846,4.618484954
4.888441032,5.528953933
5.208880278,3.968112232
5.779838578,6.453952678
4.400911235,5.891703104
4.157688495,5.48508463
6.104601258,5.266509535
4.418726873,5.534161932
6.292750979,5.200124637
4.645826908,4.216527518
5.614462956,4.073361518
4.192282119,4.899156909
6.853891037,4.954745142
4.898093693,4.891193736
3.752726285,4.59310544
4.907702991,3.666235276
5.346488762,7.177852332
5.008934768,5.837592218
4.004254473,3.508566625
5.382809847,4.932251535
6.093753357,5.413795332
6.010143015,4.956941518
4.626352727,6.410634567
4.063786387,4.438843901
3.93120344,3.329021518
3.801875328,6.730407894
6.278212951,4.343534146
5.274031898,5.334552676
4.915174751,4.878060758
